"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-11","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-12","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-14","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-16","0.16",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-18","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-19","0.24",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-20","1.34",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-21","0.16",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-22","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-23","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-24","0.12",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-25","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-26","0.08",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-27","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-29","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-30","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-08-31","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-01","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-02","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-03","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-04","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-05","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-06","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-07","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-08","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-09","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-10","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-11","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-12","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-14","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-16","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-20","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-21","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-23","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-24","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-25","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-26","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-27","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-29","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-09-30","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-01","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-02","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-03","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-04","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-05","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-06","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-07","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-08","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-09","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-10","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-11","1.50",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-12","0.24",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-16","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-18","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-20","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-21","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-23","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-24","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-25","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-26","0.20",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-29","1.14",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-30","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-10-31","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-01","1.10",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-02","0.35",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-03","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-04","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-05","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-06","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-07","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-08","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-09","0.08",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-10","0.08",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-11","0.08",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-12","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-14","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-16","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-18","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-20","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-21","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-23","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-24","1.02",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-25","0.16",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-26","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-27","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-29","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-11-30","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-01","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-02","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-03","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-04","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-05","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-06","1.77",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-07","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-08","0.63",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-09","0.08",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-10","0.71",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-11","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-12","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-14","0.28",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-16","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-18","1.06",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-20","0.28",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-21","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-23","0.24",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-24","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-25","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-26","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-27","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-29","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-30","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2007-12-31","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-01","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-02","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-03","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-04","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-05","1.10",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-06","0.12",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-07","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-08","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-09","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-10","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-11","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-12","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-14","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-16","0.12",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-17","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-18","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-20","0.08",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-21","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-23","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-24","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-25","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-26","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-27","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-29","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-30","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-01-31","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-01","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-02","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-03","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-04","1.30",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-05","3.50",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-06","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-07","1.26",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-08","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-09","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-10","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-11","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-12","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-13","0.28",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-14","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-16","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-18","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-20","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-21","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-23","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-24","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-25","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-26","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-27","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-02-29","0.39",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-01","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-02","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-03","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-04","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-05","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-06","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-07","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-08","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-09","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-10","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-11","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-12","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-14","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-16","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-18","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-20","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-21","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-23","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-24","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-25","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-26","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-27","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-29","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-30","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-03-31","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-01","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-02","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-03","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-04","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-05","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-06","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-07","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-08","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-09","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-10","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-11","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-12","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-14","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-16","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-18","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-20","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-21","0.04",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-23","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-24","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-25","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-26","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-27","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-28","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-29","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-04-30","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-01","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-02","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-03","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-04","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-05","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-06","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-07","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-08","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-09","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-10","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-11","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-12","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-13","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-14","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-15","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-16","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-17","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-18","0.12",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-19","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-20","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-21","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-22","0.00",,,,
"ASN00041548","TEXAS TM, AS","-28.8675","151.1611","272.0","2008-05-23","0.00",,,,
